"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Motovehículos",2022,12,"Santa Cruz","Z",54,"78"
"Motovehículos",2022,12,"Santa Fe","S",4227,"82"
"Motovehículos",2022,12,"Santiago del Estero","G",279,"86"
"Motovehículos",2022,12,"Tierra del Fuego","V",70,"94"
"Motovehículos",2022,12,"Tucumán","T",665,"90"
"Motovehículos",2023,1,"Buenos Aires","B",14231,"06"
"Motovehículos",2023,1,"Catamarca","K",195,"10"
"Motovehículos",2023,1,"Chaco","H",638,"22"
"Motovehículos",2023,1,"Chubut","U",245,"26"
"Motovehículos",2023,1,"Ciudad Autónoma de Bs.As.","C",1429,"02"
"Motovehículos",2023,1,"Córdoba","X",5004,"14"
"Motovehículos",2023,1,"Corrientes","W",738,"18"
"Motovehículos",2023,1,"Entre Ríos","E",1998,"30"
"Motovehículos",2023,1,"Formosa","P",197,"34"
"Motovehículos",2023,1,"Jujuy","Y",185,"38"
"Motovehículos",2023,1,"La Pampa","L",576,"42"
"Motovehículos",2023,1,"La Rioja","F",215,"46"
"Motovehículos",2023,1,"Mendoza","M",1555,"50"
"Motovehículos",2023,1,"Misiones","N",597,"54"
"Motovehículos",2023,1,"Neuquén","Q",431,"58"
"Motovehículos",2023,1,"Río Negro","R",455,"62"
"Motovehículos",2023,1,"Salta","A",303,"66"
"Motovehículos",2023,1,"San Juan","J",388,"70"
"Motovehículos",2023,1,"San Luis","D",395,"74"
"Motovehículos",2023,1,"Santa Cruz","Z",56,"78"
"Motovehículos",2023,1,"Santa Fe","S",4916,"82"
"Motovehículos",2023,1,"Santiago del Estero","G",325,"86"
"Motovehículos",2023,1,"Tierra del Fuego","V",73,"94"
"Motovehículos",2023,1,"Tucumán","T",733,"90"
"Motovehículos",2023,2,"Buenos Aires","B",12374,"06"
"Motovehículos",2023,2,"Catamarca","K",145,"10"
"Motovehículos",2023,2,"Chaco","H",547,"22"
"Motovehículos",2023,2,"Chubut","U",229,"26"
"Motovehículos",2023,2,"Ciudad Autónoma de Bs.As.","C",1257,"02"
"Motovehículos",2023,2,"Córdoba","X",4449,"14"
"Motovehículos",2023,2,"Corrientes","W",634,"18"
"Motovehículos",2023,2,"Entre Ríos","E",1729,"30"
"Motovehículos",2023,2,"Formosa","P",149,"34"
"Motovehículos",2023,2,"Jujuy","Y",119,"38"
"Motovehículos",2023,2,"La Pampa","L",489,"42"
"Motovehículos",2023,2,"La Rioja","F",198,"46"
"Motovehículos",2023,2,"Mendoza","M",1252,"50"
"Motovehículos",2023,2,"Misiones","N",512,"54"
"Motovehículos",2023,2,"Neuquén","Q",346,"58"
"Motovehículos",2023,2,"Río Negro","R",404,"62"
"Motovehículos",2023,2,"Salta","A",261,"66"
"Motovehículos",2023,2,"San Juan","J",333,"70"
"Motovehículos",2023,2,"San Luis","D",384,"74"
"Motovehículos",2023,2,"Santa Cruz","Z",58,"78"
"Motovehículos",2023,2,"Santa Fe","S",4065,"82"
"Motovehículos",2023,2,"Santiago del Estero","G",273,"86"
"Motovehículos",2023,2,"Tierra del Fuego","V",53,"94"
"Motovehículos",2023,2,"Tucumán","T",593,"90"
"Motovehículos",2023,3,"Buenos Aires","B",16906,"06"
"Motovehículos",2023,3,"Catamarca","K",215,"10"
"Motovehículos",2023,3,"Chaco","H",734,"22"
"Motovehículos",2023,3,"Chubut","U",306,"26"
"Motovehículos",2023,3,"Ciudad Autónoma de Bs.As.","C",1707,"02"
"Motovehículos",2023,3,"Córdoba","X",5891,"14"
"Motovehículos",2023,3,"Corrientes","W",829,"18"
"Motovehículos",2023,3,"Entre Ríos","E",2409,"30"
"Motovehículos",2023,3,"Formosa","P",214,"34"
"Motovehículos",2023,3,"Jujuy","Y",168,"38"
"Motovehículos",2023,3,"La Pampa","L",676,"42"
"Motovehículos",2023,3,"La Rioja","F",254,"46"
"Motovehículos",2023,3,"Mendoza","M",1743,"50"
"Motovehículos",2023,3,"Misiones","N",716,"54"
"Motovehículos",2023,3,"Neuquén","Q",537,"58"
"Motovehículos",2023,3,"Río Negro","R",511,"62"
"Motovehículos",2023,3,"Salta","A",323,"66"
"Motovehículos",2023,3,"San Juan","J",486,"70"
"Motovehículos",2023,3,"San Luis","D",582,"74"
"Motovehículos",2023,3,"Santa Cruz","Z",73,"78"
"Motovehículos",2023,3,"Santa Fe","S",5424,"82"
"Motovehículos",2023,3,"Santiago del Estero","G",412,"86"
"Motovehículos",2023,3,"Tierra del Fuego","V",70,"94"
"Motovehículos",2023,3,"Tucumán","T",797,"90"
"Motovehículos",2023,4,"Buenos Aires","B",14045,"06"
