"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2014,5,"La Pampa","L",5,"42"
"Maquinarias",2014,5,"Mendoza","M",10,"50"
"Maquinarias",2014,5,"Misiones","N",3,"54"
"Maquinarias",2014,5,"Neuquén","Q",2,"58"
"Maquinarias",2014,5,"Río Negro","R",3,"62"
"Maquinarias",2014,5,"Salta","A",3,"66"
"Maquinarias",2014,5,"San Juan","J",1,"70"
"Maquinarias",2014,5,"San Luis","D",4,"74"
"Maquinarias",2014,5,"Santa Cruz","Z",3,"78"
"Maquinarias",2014,5,"Santa Fe","S",101,"82"
"Maquinarias",2014,5,"Santiago del Estero","G",2,"86"
"Maquinarias",2014,5,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,5,"Tucumán","T",5,"90"
"Maquinarias",2014,6,"Buenos Aires","B",75,"06"
"Maquinarias",2014,6,"Catamarca","K",3,"10"
"Maquinarias",2014,6,"Chaco","H",6,"22"
"Maquinarias",2014,6,"Chubut","U",5,"26"
"Maquinarias",2014,6,"Ciudad Autónoma de Bs.As.","C",179,"02"
"Maquinarias",2014,6,"Córdoba","X",117,"14"
"Maquinarias",2014,6,"Corrientes","W",0,"18"
"Maquinarias",2014,6,"Entre Ríos","E",14,"30"
"Maquinarias",2014,6,"Formosa","P",0,"34"
"Maquinarias",2014,6,"Jujuy","Y",0,"38"
"Maquinarias",2014,6,"La Pampa","L",7,"42"
"Maquinarias",2014,6,"Mendoza","M",7,"50"
"Maquinarias",2014,6,"Misiones","N",3,"54"
"Maquinarias",2014,6,"Neuquén","Q",10,"58"
"Maquinarias",2014,6,"Río Negro","R",1,"62"
"Maquinarias",2014,6,"Salta","A",3,"66"
"Maquinarias",2014,6,"San Juan","J",3,"70"
"Maquinarias",2014,6,"San Luis","D",6,"74"
"Maquinarias",2014,6,"Santa Cruz","Z",0,"78"
"Maquinarias",2014,6,"Santa Fe","S",92,"82"
"Maquinarias",2014,6,"Santiago del Estero","G",2,"86"
"Maquinarias",2014,6,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,6,"Tucumán","T",3,"90"
"Maquinarias",2014,7,"Buenos Aires","B",78,"06"
"Maquinarias",2014,7,"Catamarca","K",2,"10"
"Maquinarias",2014,7,"Chaco","H",7,"22"
"Maquinarias",2014,7,"Chubut","U",2,"26"
"Maquinarias",2014,7,"Ciudad Autónoma de Bs.As.","C",209,"02"
"Maquinarias",2014,7,"Córdoba","X",108,"14"
"Maquinarias",2014,7,"Corrientes","W",1,"18"
"Maquinarias",2014,7,"Entre Ríos","E",24,"30"
"Maquinarias",2014,7,"Formosa","P",0,"34"
"Maquinarias",2014,7,"Jujuy","Y",1,"38"
"Maquinarias",2014,7,"La Pampa","L",5,"42"
"Maquinarias",2014,7,"Mendoza","M",15,"50"
"Maquinarias",2014,7,"Misiones","N",0,"54"
"Maquinarias",2014,7,"Neuquén","Q",14,"58"
"Maquinarias",2014,7,"Río Negro","R",2,"62"
"Maquinarias",2014,7,"Salta","A",4,"66"
"Maquinarias",2014,7,"San Juan","J",3,"70"
"Maquinarias",2014,7,"San Luis","D",3,"74"
"Maquinarias",2014,7,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,7,"Santa Fe","S",83,"82"
"Maquinarias",2014,7,"Santiago del Estero","G",6,"86"
"Maquinarias",2014,7,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,7,"Tucumán","T",1,"90"
"Maquinarias",2014,8,"Buenos Aires","B",63,"06"
"Maquinarias",2014,8,"Catamarca","K",2,"10"
"Maquinarias",2014,8,"Chaco","H",8,"22"
"Maquinarias",2014,8,"Chubut","U",5,"26"
"Maquinarias",2014,8,"Ciudad Autónoma de Bs.As.","C",200,"02"
"Maquinarias",2014,8,"Córdoba","X",112,"14"
"Maquinarias",2014,8,"Corrientes","W",2,"18"
"Maquinarias",2014,8,"Entre Ríos","E",22,"30"
"Maquinarias",2014,8,"Formosa","P",0,"34"
"Maquinarias",2014,8,"Jujuy","Y",2,"38"
"Maquinarias",2014,8,"La Pampa","L",9,"42"
"Maquinarias",2014,8,"Mendoza","M",18,"50"
"Maquinarias",2014,8,"Misiones","N",0,"54"
"Maquinarias",2014,8,"Neuquén","Q",3,"58"
"Maquinarias",2014,8,"Río Negro","R",1,"62"
"Maquinarias",2014,8,"Salta","A",6,"66"
"Maquinarias",2014,8,"San Juan","J",1,"70"
"Maquinarias",2014,8,"San Luis","D",3,"74"
"Maquinarias",2014,8,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,8,"Santa Fe","S",99,"82"
"Maquinarias",2014,8,"Santiago del Estero","G",2,"86"
"Maquinarias",2014,8,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,8,"Tucumán","T",5,"90"
"Maquinarias",2014,9,"Buenos Aires","B",73,"06"
"Maquinarias",2014,9,"Catamarca","K",0,"10"
"Maquinarias",2014,9,"Chaco","H",9,"22"
"Maquinarias",2014,9,"Chubut","U",1,"26"
"Maquinarias",2014,9,"Ciudad Autónoma de Bs.As.","C",241,"02"
"Maquinarias",2014,9,"Córdoba","X",122,"14"
"Maquinarias",2014,9,"Corrientes","W",4,"18"
"Maquinarias",2014,9,"Entre Ríos","E",29,"30"
"Maquinarias",2014,9,"Formosa","P",1,"34"
"Maquinarias",2014,9,"Jujuy","Y",1,"38"
"Maquinarias",2014,9,"La Pampa","L",11,"42"
"Maquinarias",2014,9,"Mendoza","M",13,"50"
"Maquinarias",2014,9,"Misiones","N",3,"54"
"Maquinarias",2014,9,"Neuquén","Q",4,"58"
"Maquinarias",2014,9,"Río Negro","R",4,"62"
"Maquinarias",2014,9,"Salta","A",6,"66"
"Maquinarias",2014,9,"San Juan","J",0,"70"
"Maquinarias",2014,9,"San Luis","D",7,"74"
"Maquinarias",2014,9,"Santa Cruz","Z",4,"78"
"Maquinarias",2014,9,"Santa Fe","S",84,"82"
"Maquinarias",2014,9,"Santiago del Estero","G",1,"86"
"Maquinarias",2014,9,"Tierra del Fuego","V",1,"94"
"Maquinarias",2014,9,"Tucumán","T",3,"90"
"Maquinarias",2014,10,"Buenos Aires","B",75,"06"
"Maquinarias",2014,10,"Catamarca","K",0,"10"
"Maquinarias",2014,10,"Chaco","H",4,"22"
"Maquinarias",2014,10,"Chubut","U",3,"26"
"Maquinarias",2014,10,"Ciudad Autónoma de Bs.As.","C",203,"02"
