"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Maquinarias",2014,10,"Mendoza","M",32,"50"
"Maquinarias",2014,10,"Misiones","N",15,"54"
"Maquinarias",2014,10,"Neuquén","Q",7,"58"
"Maquinarias",2014,10,"Río Negro","R",5,"62"
"Maquinarias",2014,10,"Salta","A",22,"66"
"Maquinarias",2014,10,"San Juan","J",7,"70"
"Maquinarias",2014,10,"San Luis","D",5,"74"
"Maquinarias",2014,10,"Santa Cruz","Z",12,"78"
"Maquinarias",2014,10,"Santa Fe","S",154,"82"
"Maquinarias",2014,10,"Santiago del Estero","G",6,"86"
"Maquinarias",2014,10,"Tierra del Fuego","V",3,"94"
"Maquinarias",2014,10,"Tucumán","T",16,"90"
"Maquinarias",2014,11,"Buenos Aires","B",149,"06"
"Maquinarias",2014,11,"Catamarca","K",2,"10"
"Maquinarias",2014,11,"Chaco","H",16,"22"
"Maquinarias",2014,11,"Chubut","U",5,"26"
"Maquinarias",2014,11,"Ciudad Autónoma de Bs.As.","C",264,"02"
"Maquinarias",2014,11,"Córdoba","X",135,"14"
"Maquinarias",2014,11,"Corrientes","W",14,"18"
"Maquinarias",2014,11,"Entre Ríos","E",41,"30"
"Maquinarias",2014,11,"Formosa","P",4,"34"
"Maquinarias",2014,11,"Jujuy","Y",3,"38"
"Maquinarias",2014,11,"La Pampa","L",16,"42"
"Maquinarias",2014,11,"La Rioja","F",1,"46"
"Maquinarias",2014,11,"Mendoza","M",40,"50"
"Maquinarias",2014,11,"Misiones","N",4,"54"
"Maquinarias",2014,11,"Neuquén","Q",11,"58"
"Maquinarias",2014,11,"Río Negro","R",1,"62"
"Maquinarias",2014,11,"Salta","A",25,"66"
"Maquinarias",2014,11,"San Juan","J",8,"70"
"Maquinarias",2014,11,"San Luis","D",1,"74"
"Maquinarias",2014,11,"Santa Cruz","Z",10,"78"
"Maquinarias",2014,11,"Santa Fe","S",105,"82"
"Maquinarias",2014,11,"Santiago del Estero","G",15,"86"
"Maquinarias",2014,11,"Tierra del Fuego","V",1,"94"
"Maquinarias",2014,11,"Tucumán","T",6,"90"
"Maquinarias",2014,12,"Buenos Aires","B",184,"06"
"Maquinarias",2014,12,"Catamarca","K",3,"10"
"Maquinarias",2014,12,"Chaco","H",14,"22"
"Maquinarias",2014,12,"Chubut","U",9,"26"
"Maquinarias",2014,12,"Ciudad Autónoma de Bs.As.","C",206,"02"
"Maquinarias",2014,12,"Córdoba","X",151,"14"
"Maquinarias",2014,12,"Corrientes","W",15,"18"
"Maquinarias",2014,12,"Entre Ríos","E",35,"30"
"Maquinarias",2014,12,"Formosa","P",8,"34"
"Maquinarias",2014,12,"Jujuy","Y",10,"38"
"Maquinarias",2014,12,"La Pampa","L",14,"42"
"Maquinarias",2014,12,"La Rioja","F",2,"46"
"Maquinarias",2014,12,"Mendoza","M",36,"50"
"Maquinarias",2014,12,"Misiones","N",13,"54"
"Maquinarias",2014,12,"Neuquén","Q",8,"58"
"Maquinarias",2014,12,"Río Negro","R",4,"62"
"Maquinarias",2014,12,"Salta","A",12,"66"
"Maquinarias",2014,12,"San Juan","J",5,"70"
"Maquinarias",2014,12,"San Luis","D",3,"74"
"Maquinarias",2014,12,"Santa Cruz","Z",7,"78"
"Maquinarias",2014,12,"Santa Fe","S",133,"82"
"Maquinarias",2014,12,"Santiago del Estero","G",8,"86"
"Maquinarias",2014,12,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,12,"Tucumán","T",9,"90"
"Maquinarias",2015,1,"Buenos Aires","B",151,"06"
"Maquinarias",2015,1,"Catamarca","K",1,"10"
"Maquinarias",2015,1,"Chaco","H",20,"22"
"Maquinarias",2015,1,"Chubut","U",7,"26"
"Maquinarias",2015,1,"Ciudad Autónoma de Bs.As.","C",227,"02"
"Maquinarias",2015,1,"Córdoba","X",119,"14"
"Maquinarias",2015,1,"Corrientes","W",6,"18"
"Maquinarias",2015,1,"Entre Ríos","E",35,"30"
"Maquinarias",2015,1,"Formosa","P",1,"34"
"Maquinarias",2015,1,"Jujuy","Y",4,"38"
"Maquinarias",2015,1,"La Pampa","L",9,"42"
"Maquinarias",2015,1,"La Rioja","F",0,"46"
"Maquinarias",2015,1,"Mendoza","M",39,"50"
"Maquinarias",2015,1,"Misiones","N",3,"54"
"Maquinarias",2015,1,"Neuquén","Q",3,"58"
"Maquinarias",2015,1,"Río Negro","R",6,"62"
"Maquinarias",2015,1,"Salta","A",10,"66"
"Maquinarias",2015,1,"San Juan","J",5,"70"
"Maquinarias",2015,1,"San Luis","D",3,"74"
"Maquinarias",2015,1,"Santa Cruz","Z",6,"78"
"Maquinarias",2015,1,"Santa Fe","S",103,"82"
"Maquinarias",2015,1,"Santiago del Estero","G",7,"86"
"Maquinarias",2015,1,"Tierra del Fuego","V",1,"94"
"Maquinarias",2015,1,"Tucumán","T",12,"90"
"Maquinarias",2015,2,"Buenos Aires","B",124,"06"
"Maquinarias",2015,2,"Catamarca","K",4,"10"
"Maquinarias",2015,2,"Chaco","H",7,"22"
"Maquinarias",2015,2,"Chubut","U",1,"26"
"Maquinarias",2015,2,"Ciudad Autónoma de Bs.As.","C",174,"02"
"Maquinarias",2015,2,"Córdoba","X",91,"14"
"Maquinarias",2015,2,"Corrientes","W",5,"18"
"Maquinarias",2015,2,"Entre Ríos","E",21,"30"
"Maquinarias",2015,2,"Formosa","P",4,"34"
"Maquinarias",2015,2,"Jujuy","Y",4,"38"
"Maquinarias",2015,2,"La Pampa","L",5,"42"
"Maquinarias",2015,2,"La Rioja","F",1,"46"
"Maquinarias",2015,2,"Mendoza","M",34,"50"
"Maquinarias",2015,2,"Misiones","N",4,"54"
"Maquinarias",2015,2,"Neuquén","Q",7,"58"
"Maquinarias",2015,2,"Río Negro","R",6,"62"
"Maquinarias",2015,2,"Salta","A",6,"66"
"Maquinarias",2015,2,"San Juan","J",5,"70"
"Maquinarias",2015,2,"San Luis","D",0,"74"
"Maquinarias",2015,2,"Santa Cruz","Z",5,"78"
"Maquinarias",2015,2,"Santa Fe","S",85,"82"
"Maquinarias",2015,2,"Santiago del Estero","G",5,"86"
"Maquinarias",2015,2,"Tierra del Fuego","V",1,"94"
"Maquinarias",2015,2,"Tucumán","T",16,"90"
"Maquinarias",2015,3,"Buenos Aires","B",119,"06"
"Maquinarias",2015,3,"Catamarca","K",4,"10"
"Maquinarias",2015,3,"Chaco","H",11,"22"
"Maquinarias",2015,3,"Chubut","U",5,"26"
"Maquinarias",2015,3,"Ciudad Autónoma de Bs.As.","C",197,"02"
